Spectra_Filepath	Fraction	Label	Fraction_Group	Sample
59	a	1	2	116
60	d	1	2	117
61	c_acute_improve	1	2	114
62	c_acute_nonimprove	1	2	115
63	a	1	2	116
64	d	1	2	117
65	c_acute_improve	1	2	114
66	c_acute_nonimprove	1	2	115
67	a	1	2	116
68	d	1	2	117
69	c_acute_improve	1	2	114
70	c_acute_nonimprove	1	2	115
71	a	1	2	116
72	d	1	2	117
73	c_acute_improve	1	2	114
74	c_acute_nonimprove	1	2	115
75	a	1	2	116
76	d	1	2	117
77	c_acute_improve	1	2	114
78	c_acute_nonimprove	1	2	115
79	a	1	2	116
80	d	1	2	117
81	c_acute_improve	1	2	114
82	c_acute_nonimprove	1	2	115
83	a	1	2	116
84	d	1	2	117
85	c_acute_improve	1	2	114
86	c_acute_nonimprove	1	2	115
87	a	1	2	116
88	d	1	2	117
89	c_acute_improve	1	2	114
90	c_acute_nonimprove	1	2	115
91	a	1	2	116
92	d	1	2	117
93	c_acute_improve	1	2	114
94	c_acute_nonimprove	1	2	115
95	a	1	2	116
96	d	1	2	117
